goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkMutexSlack/semaphoreMu-10               	 4825708	       249.2 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4763286	       248.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4833697	       249.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/native-10                    	 2720300	       402.9 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10                    	 3068071	       400.6 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10                    	 3040352	       394.9 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10                    	 2940982	       398.6 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10                    	 3060997	       400.5 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10                    	 3066930	       401.6 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 8694496	       132.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9097317	       130.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9088011	       133.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9175273	       128.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9138632	       133.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9221252	       130.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 5908351	       203.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 5880055	       203.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 5893106	       204.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 5916354	       204.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 5873846	       203.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                     	 5721202	       203.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4443043	       269.3 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4523352	       271.6 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4364427	       270.4 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4458067	       268.5 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4453394	       269.1 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/semaphoreMu-10                	 4441929	       268.6 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWork/native-10                     	 5450427	       207.6 ns/op	       5 B/op	       0 allocs/op
BenchmarkMutexWork/native-10                     	 6032236	       212.1 ns/op	       5 B/op	       0 allocs/op
BenchmarkMutexWork/native-10                     	 6651658	       213.3 ns/op	       6 B/op	       0 allocs/op
BenchmarkMutexWork/native-10                     	 5370244	       194.4 ns/op	       5 B/op	       0 allocs/op
BenchmarkMutexWork/native-10                     	 5759696	       206.2 ns/op	       5 B/op	       0 allocs/op
BenchmarkMutexWork/native-10                     	 5741239	       211.2 ns/op	       5 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	10295656	       111.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	10701584	       115.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	10145238	       110.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	10492750	       117.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	 9271838	       111.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10                	10950049	       116.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 6037909	       198.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 5915851	       200.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 6090295	       201.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 6058394	       198.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 6130904	       194.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10                	 6022023	       198.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4318549	       277.7 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4245312	       282.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4291686	       280.1 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4264903	       280.0 ns/op	     176 B/op	       3 allocs/op
