goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkMutexSpin/fifomu-10                	  491036	      2476 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                	  489550	      2457 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                	  475488	      2474 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                	  484762	      2487 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/semaphoreMu-10           	  463857	      2640 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10           	  472400	      2643 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10           	  457770	      2644 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10           	  460142	      2639 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/native-10                	 1274758	       903.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                	 1337983	       906.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                	 1325877	       911.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                	 1316361	       902.3 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/neilotoole/fifomu	167.374s
PASS
ok  	github.com/neilotoole/fifomu/internal/native	0.188s
