goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkMutexWorkSlack/stdlib-10           	10674494	       111.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10           	 9534907	       119.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10           	11472009	       114.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10           	10037634	       116.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10           	 9905907	       117.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/stdlib-10           	10031696	       121.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10           	 6033289	       196.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10           	 6134703	       197.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10           	 6181178	       195.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10           	 6167553	       194.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10           	 6076191	       194.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/fifomu-10           	 6112527	       193.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10      	 4112744	       287.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10      	 4242224	       285.7 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10      	 4275577	       284.1 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10      	 4277251	       280.9 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10      	 4212842	       280.1 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10      	 4163128	       291.3 ns/op	     176 B/op	       3 allocs/op
BenchmarkMutexWorkSlack/native-10           	 7637634	       155.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10           	 7693749	       156.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10           	 7726384	       155.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10           	 7618293	       158.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10           	 7505642	       159.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWorkSlack/native-10           	 7703193	       156.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10              	 9492199	       138.5 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10              	 9029486	       137.3 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10              	 9447582	       140.8 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10              	 9244778	       141.5 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10              	 9400210	       137.5 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10              	 9417122	       142.7 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10              	 2833995	       431.1 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10              	 2804013	       433.0 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10              	 2811978	       432.9 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10              	 2542135	       427.2 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10              	 2815016	       467.5 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10              	 2704170	       425.3 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10         	 2528330	       468.5 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10         	 2548926	       469.5 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10         	 2518004	       501.6 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10         	 2302014	       466.7 ns/op	      55 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10         	 2561556	       483.3 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10         	 2561629	       476.7 ns/op	      55 B/op	       1 allocs/op
BenchmarkMutexNoSpin/native-10              	 6523152	       189.9 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10              	 6400054	       192.1 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10              	 6404643	       186.2 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10              	 6441854	       193.3 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10              	 6594979	       191.9 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/native-10              	 6354121	       189.5 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                	 4534171	       267.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                	 4959232	       237.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                	 5103940	       244.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                	 4931151	       236.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                	 5147398	       237.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/stdlib-10                	 4509706	       239.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                	  507058	      2415 ns/op	       0 B/op	       0 allocs/op
