goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4315222	       281.7 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexWorkSlack/semaphoreMu-10           	 4209092	       284.9 ns/op	     176 B/op	       3 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 9531048	       141.2 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 8495810	       145.6 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 9301634	       138.5 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 8707832	       146.1 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 9285388	       138.3 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/stdlib-10                   	 8671216	       141.6 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 2427232	       414.4 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 2909620	       416.8 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 2921022	       416.1 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 2713530	       431.6 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 2828439	       422.3 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/fifomu-10                   	 2769120	       420.2 ns/op	      12 B/op	       0 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2618985	       486.8 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2602675	       468.0 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2607537	       471.8 ns/op	      56 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2244781	       465.3 ns/op	      55 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2605380	       463.1 ns/op	      55 B/op	       1 allocs/op
BenchmarkMutexNoSpin/semaphoreMu-10              	 2599813	       461.6 ns/op	      55 B/op	       1 allocs/op
BenchmarkMutexSpin/stdlib-10                     	 4827388	       306.1 ns/op	       0 B/op	       0 allocs/op
