goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkMutexSpin/fifomu-10                     	  507128	      2369 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  506529	      2366 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  507073	      2367 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/fifomu-10                     	  510680	      2363 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  487196	      2494 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  483686	      2463 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  483328	      2482 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  487302	      2466 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  485314	      2488 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/semaphoreMu-10                	  487926	      2467 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSpin/native-10                     	 1408112	       863.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                     	 1422291	       850.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                     	 1419416	       846.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                     	 1427857	       870.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                     	 1386378	       845.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSpin/native-10                     	 1404606	       846.3 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/neilotoole/fifomu	280.662s
PASS
ok  	github.com/neilotoole/fifomu/internal/native	0.177s
